use,1,1,0,1,0,0,0,0,0
K67628093,NA,NA,INCB-3284,CC chemokine receptor antagonist,CCR2,NA,G-protein coupled receptor activity,drug,NA
K67637637,NA,NA,olopatadine,histamine receptor antagonist,HRH1|S100A1|S100A12|S100A13|S100A2|S100B,NA,G-protein coupled amine receptor activity,drug,NA
K67642028,NA,NA,mimosine,DNA replication inhibitor,CCL2|SHMT1|SHMT2|TYR,NA,protein kinase activity,drug,NA
K67680372,NA,NA,CI-966,GAT inhibitor,SLC6A1,NA,transmembrane transporter activity,drug,NA
K67760597,NA,NA,barium-6-O-phosphonato-D-glucose,NA,GPI,NA,transferase activity,drug,NA
K67772619,NA,NA,rheochrysidin,protein tyrosine kinase inhibitor,PTPN1,NA,ion binding,drug,NA
K67783091,NA,NA,haloperidol,dopamine receptor antagonist,DRD1|DRD2|DRD3|DRD4|DRD5|GRIN2B|HRH1|HTR1A|HTR1D|HTR2A|HTR2B|HTR7|KCNH1,cAMP signaling pathway,neurotransmitter receptor activity,drug,NA
K67789209,NA,NA,adatanserin,serotonin receptor agonist; serotonin receptor antagonist,HTR1A|HTR2A,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K67831364,NA,NA,ZM-323881,VEGFR inhibitor,KDR,NA,protein kinase activity,drug,NA
K67844266,NA,NA,pevonedistat,nedd activating enzyme inhibitor,NAE1|UBA3,NA,NA,drug,NA
K67860401,NA,NA,AR-A014418,glycogen synthase kinase inhibitor,GSK3B,NA,protein serine/threonine kinase activity,drug,NA
K67868012,NA,NA,PI-103,mTOR inhibitor; PI3K inhibitor,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC,cAMP signaling pathway,NA,drug,NA
K67901620,NA,NA,avasimibe,ACAT inhibitor,CES1,NA,NA,drug,NA
K67915505,NA,NA,NVP-HSP990,HSP inhibitor,HSP90AA1|HSP90AB1,PI3K-Akt signaling pathway,protein kinase activity,drug,NA
K67935717,NA,NA,retaspimycin,HSP inhibitor,HSP90AA1,NA,protein kinase activity,drug,NA
K67943528,NA,NA,lisuride,dopamine receptor agonist,ADRA1A|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR6,cGMP-PKG signaling pathway,G-protein coupled amine receptor activity,drug,NA
K67966701,NA,NA,lisinopril,angiotensin converting enzyme inhibitor,ACE|ACE2,NA,ion binding,drug,NA
K67977190,NA,NA,eprosartan,angiotensin receptor antagonist,AGTR1,NA,G-protein coupled receptor activity,drug,NA
K68003372,NA,NA,APTO-253,kruppel-like factor expression enhancer,KLF4,NA,ion binding,drug,NA
K68065987,NA,NA,MK-2206,AKT inhibitor,AKT1|AKT2|AKT3,MAPK signaling pathway,NA,drug,NA
K68075732,NA,NA,atenolol-(+),adrenergic receptor antagonist,NA,NA,NA,drug,NA
K68091065,NA,NA,halazone,NA,NA,NA,NA,drug,NA
K68095457,NA,NA,palmitoylethanolamide,cannabinoid receptor agonist,CNR2|GPR119|GPR55,cAMP signaling pathway,G-protein coupled receptor activity,drug,NA
K68103045,NA,NA,CGS-20625,benzodiazepine receptor agonist; GABA benzodiazepine site receptor partial agonist,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6,NA,extracellular ligand-gated ion channel activity,drug,NA
K68132782,NA,NA,terbinafine,fungal squalene epoxidase inhibitor,SQLE,NA,small molecule binding,drug,NA
K68143200,NA,NA,NSC-95397,CDC inhibitor,CDC25A|CDC25B,MAPK signaling pathway,NA,drug,NA
K68164687,NA,NA,epothilone-b,microtubule stabilizing agent; tubulin polymerization inhibitor,TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA4A|TUBA8|TUBB|TUBB1|TUBB3|TUBB4A|TUBB4B,NA,small molecule binding,drug,NA
K68174511,NA,NA,torin-2,mTOR inhibitor,MTOR,NA,NA,drug,NA
K68185022,NA,NA,ursolic-acid,ATPase inhibitor; NFkB pathway inhibitor; STAT inhibitor,HSD11B1|PLA2G1B|PTPN1|PYGM,NA,NA,drug,NA
K68188368,NA,NA,nifuroxazide,bacterial DNA inhibitor,NA,NA,NA,drug,NA
K68202742,NA,NA,trichostatin-a,HDAC inhibitor,HDAC1|HDAC10|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,NA,heterocyclic compound binding,drug,NA
K68220839,NA,NA,LY2979165,glutamate receptor agonist,GRM2,NA,G-protein coupled receptor activity,drug,NA
K68232413,NA,NA,etizolam,benzodiazepine receptor agonist,GABRA1,NA,extracellular ligand-gated ion channel activity,drug,NA
K68232650,NA,NA,lacosamide,collapsin response mediator protein inhibitor; collapsin response mediator protein stimulant; sodium channel blocker,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,NA,ion channel activity,drug,NA
K68264559,NA,NA,brimonidine,adrenergic receptor agonist,ADRA2A|ADRA2B|ADRA2C,cGMP-PKG signaling pathway,G-protein coupled amine receptor activity,drug,NA
K68336408,NA,NA,tyrphostin-AG-1478,EGFR inhibitor,EGFR|MAPK14,MAPK signaling pathway,protein serine/threonine kinase activity,drug,NA
K68346641,NA,NA,amsacrine,topoisomerase inhibitor,KCNH2|TOP2A,NA,ion channel activity,drug,NA
K68358632,NA,NA,TCS-HDAC6-20b,HDAC inhibitor,HDAC6,NA,ion binding,drug,NA
K68379918,NA,NA,silver-sulfadiazine,PABA antagonist,NA,NA,NA,drug,NA
K68392338,NA,NA,ZK-93426,benzodiazepine receptor antagonist,GABRA1|GABRA2|GABRA3|GABRA5,NA,extracellular ligand-gated ion channel activity,drug,NA
K68395654,NA,NA,EVP4593,NFkB pathway inhibitor,NA,NA,NA,drug,NA
K68399195,NA,NA,fosbretabulin,tubulin polymerization inhibitor; VE-cadherin antagonist,CDH5,NA,ion binding,drug,NA
K68402494,NA,NA,ML-9,myosin light chain kinase inhibitor,TRPC6,NA,ion channel activity,drug,NA
K68405354,NA,NA,spaglumic-acid,glutamate receptor antagonist,GRM3,NA,G-protein coupled receptor activity,drug,NA
K68407436,NA,NA,nalmefene,opioid receptor antagonist,OPRD1|OPRK1|OPRM1,NA,G-protein coupled receptor activity,drug,NA
K68408467,NA,NA,proflavine-hemisulfate,topical anesthetic,F2,NA,signaling receptor activity,drug,NA
K68408772,NA,NA,carboxyamidotriazole,calcium channel blocker,CXCL8,NA,NA,drug,NA
K68432770,NA,NA,ampicillin,bacterial cell wall synthesis inhibitor,NA,NA,NA,drug,NA
K68453341,NA,NA,GS-6201,adenosine receptor antagonist,ADORA1|ADORA2A|ADORA2B|ADORA3,Calcium signaling pathway,G-protein coupled receptor activity,drug,NA
K68470841,NA,NA,ST-2825,myeloid differentiation primary response inhibitor,MYD88,NA,NA,drug,NA
K68474068,NA,NA,MM-102,WDR5/MLL interaction inhibitor,NA,NA,NA,drug,NA
K68474505,NA,NA,CCG-63808,G protein signaling inhibitor,RGS4,NA,NA,drug,NA
K68488863,NA,NA,ENMD-2076,Aurora kinase inhibitor; FLT3 inhibitor; VEGFR inhibitor,AURKA|FLT3|KDR|PDGFRA|PTK2|SRC,Rap1 signaling pathway,protein serine/threonine kinase activity,drug,NA
K68502831,NA,NA,dianhydrogalactitol,DNA alkylating agent,NA,NA,NA,drug,NA
K68507560,NA,NA,dicycloverine,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K68532323,NA,NA,SB-743921,kinesin-like spindle protein inhibitor,KIF11,NA,ATP binding,drug,NA
K68534611,NA,NA,2-methylimidazole,cholesterol inhibitor,NA,NA,NA,drug,NA
K68538666,NA,NA,aceclofenac,prostanoid receptor antagonist,PTGS2,NA,ion binding,drug,NA
K68544925,NA,NA,avatrombopag,thrombopoietin receptor agonist,MPL,NA,signaling receptor activity,drug,NA
K68552125,NA,NA,12-O-tetradecanoylphorbol-13-acetate,PKC activator,KCNT2|TRPV4,NA,ion channel activity,drug,NA
K68553471,NA,NA,todralazine,antihypertensive agent,NA,NA,NA,drug,NA
K68558722,NA,NA,deracoxib,cyclooxygenase inhibitor,PTGS2,NA,ion binding,drug,NA
K68567222,NA,NA,BVT-948,tyrosine phosphatase inhibitor,PTPN1|PTPN11|PTPN2,Ras signaling pathway,ion binding,drug,NA
K68620903,NA,NA,dydrogesterone,progesterone receptor agonist,PGR,NA,signaling receptor activity,drug,NA
K68633027,NA,NA,SB-706375,urotensin receptor antagonist,UTS2R,NA,G-protein coupled receptor activity,drug,NA
K68633617,NA,NA,ACDPP,glutamate receptor antagonist,GRM5,NA,G-protein coupled receptor activity,drug,NA
K68653965,NA,NA,picolamine,NA,NA,NA,NA,drug,NA
K68674163,NA,NA,VU-0422288,glutamate receptor allosteric modulator,GRM3,NA,G-protein coupled receptor activity,drug,NA
K68693535,NA,NA,lidamidine,adrenergic receptor agonist,NA,NA,NA,drug,NA
K68747584,NA,NA,PF-03814735,Aurora kinase inhibitor,AURKA|AURKB,NA,protein serine/threonine kinase activity,drug,NA
K68756823,NA,NA,FR-180204,MAP kinase inhibitor,MAPK1|MAPK3,MAPK signaling pathway,protein serine/threonine kinase activity,drug,NA
K68764924,NA,NA,pantethine,coenzyme A precursor,NA,NA,NA,drug,NA
K68770713,NA,NA,azosemide,electrolyte reabsorption inhibitor,SLC12A1|SLC12A2,NA,transmembrane transporter activity,drug,NA
K68795758,NA,NA,MRK-560,gamma secretase inhibitor,APP,NA,ion binding,drug,NA
K68805147,NA,NA,pafuramidine,DNA synthesis inhibitor,NA,NA,NA,drug,NA
K68810443,NA,NA,adiporon,adiponectin receptor agonist,ADIPOR1|ADIPOR2,NA,G-protein coupled receptor activity,drug,NA
K68822425,NA,NA,midecamycin,protein synthesis inhibitor,NA,NA,NA,drug,NA
K68851986,NA,NA,necrostatin-2,necroptosis inhibitor; RIPK inhibitor,RIPK2,NA,protein serine/threonine kinase activity,drug,NA
K68867920,NA,NA,quetiapine,dopamine receptor antagonist; serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2C|HTR3A|HTR6|HTR7|SLC6A2,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K68870568,NA,NA,flumatinib,Bcr-Abl kinase inhibitor,ABL1|PDGFRB,Calcium signaling pathway,NA,drug,NA
K68904758,NA,NA,cephalomannine,DNA polymerase inhibitor,NA,NA,NA,drug,NA
K68928792,NA,NA,aldoxorubicin,topoisomerase inhibitor,TOP2A,NA,ATP binding,drug,NA
K68938568,NA,NA,GDC-0152,XIAP inhibitor,BIRC2|BIRC3|BIRC7|XIAP,NA,transferase activity,drug,NA
K68982262,NA,NA,A-987306,histamine receptor antagonist,ADORA1|AVPR1A|CCR1|CHRM1|CHRM2|CHRM3|CHRM4|DRD3|HTR1A|HTR1B|HTR2A|HTR2B|HTR3A|TACR2,Calcium signaling pathway,G-protein coupled receptor activity,drug,NA
K68997413,NA,NA,PF-3845,FAAH inhibitor,FAAH,NA,NA,drug,NA
K69001009,NA,NA,golvatinib,VEGFR inhibitor,KDR|MET,Rap1 signaling pathway,protein kinase activity,drug,NA
K69035426,NA,NA,omeprazole-sulfide,ATPase inhibitor,NA,NA,NA,drug,NA
K69070623,NA,NA,EPZ004777,histone lysine methyltransferase inhibitor,DOT1L,NA,transferase activity,drug,NA
K69075588,NA,NA,GNF-7,protein kinase inhibitor; glucokinase inhibitor,GCK|TNK2,NA,kinase activity,drug,NA
K69116396,NA,NA,sertindole,dopamine receptor antagonist; serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|DRD2|DRD3|DRD4|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2C|HTR6|KCNH2,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K69122748,NA,NA,diacerein,interleukin inhibitor,IL1B,NA,NA,drug,NA
K69172251,NA,NA,cisplatin,DNA alkylating agent; DNA synthesis inhibitor,XIAP,NA,transferase activity,drug,NA
K69191882,NA,NA,guanidinoethyldisulfide-bicarbonate,nitric oxide synthase inhibitor,NOS2,NA,small molecule binding,drug,NA
K69195780,NA,NA,NAN-190,serotonin receptor agonist,ADRA1A|ADRA1B|ADRA1D|HTR1A|HTR1F,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K69211575,NA,NA,XD-14,bromodomain inhibitor,BRD2|BRD3|BRD4|BRDT,NA,NA,drug,NA
K69215269,NA,NA,solcitinib,JAK inhibitor,JAK1,NA,protein kinase activity,drug,NA
K69216798,NA,NA,iodoantipyrine,NA,NA,NA,NA,drug,NA
K69231085,NA,NA,trigonelline,NA,NA,NA,NA,drug,NA
K69236721,NA,NA,lumacaftor,CFTR channel agonist,CFTR,NA,ion channel activity,drug,NA
K69247067,NA,NA,afloqualone,acetylcholine receptor antagonist,NA,NA,NA,drug,NA
K69343602,NA,NA,ML-10302,serotonin receptor partial agonist,HTR3A|HTR3B|HTR4,Calcium signaling pathway,extracellular ligand-gated ion channel activity,drug,NA
K69346723,NA,NA,glutathione,antioxidant,ESD|GGT1|GLO1|GLRX|GLRX2|GPX1|GPX2|GPX3|GPX4|GPX5|GPX6|GPX7|GPX8|GSR|GSS|GSTA1|GSTA2|GSTA3|GSTA4|GSTA5|GSTK1|GSTM1|GSTM2|GSTM3|GSTM4|GSTM5|GSTO1|GSTO2|GSTP1|GSTT1|GSTZ1|HAGH|HPGDS|LTC4S|MGST1|MGST2|MGST3|TXNDC12,NA,NA,drug,NA
K69351586,NA,NA,CUDC-427,apoptosis inhibitor,XIAP,NA,transferase activity,drug,NA
K69469734,NA,NA,trospium,acetylcholine receptor antagonist,CHRM1,NA,G-protein coupled amine receptor activity,drug,NA
K69470111,NA,NA,montelukast,leukotriene receptor antagonist,ALOX5|CYSLTR1,Calcium signaling pathway,ion binding,drug,NA
K69577666,NA,NA,SGC-0946,histone lysine methyltransferase inhibitor,NA,NA,NA,drug,NA
K69600043,NA,NA,thiethylperazine,dopamine receptor antagonist,DRD1|DRD2|DRD4,cAMP signaling pathway,neurotransmitter receptor activity,drug,NA
K69608737,NA,NA,tacrolimus,calcineurin inhibitor,FKBP1A,NA,heterocyclic compound binding,drug,NA
K69624312,NA,NA,CUR-61414,smoothened receptor antagonist,DHH|IHH|SMO,NA,ion binding,drug,NA
K69632891,NA,NA,tribromoethanol,analgesic agent,NA,NA,NA,drug,NA
K69636617,NA,NA,testolactone,aromatase inhibitor,CYP19A1,NA,ion binding,drug,NA
K69650333,NA,NA,idarubicin,topoisomerase inhibitor,TOP2A,NA,ATP binding,drug,NA
K69669039,NA,NA,GSK163090,serotonin receptor antagonist,HTR1A|HTR1B|HTR1D,cAMP signaling pathway,G-protein coupled amine receptor activity,drug,NA
K69688083,NA,NA,mestinon,cholinesterase inhibitor,ACHE|BCHE,NA,ion binding,drug,NA
K69694239,NA,NA,bardoxolone-methyl,nuclear factor erythroid derived; like (NRF2) activator,PPARG|STAT3,NA,G-protein coupled receptor activity,drug,NA
K69726342,NA,NA,atorvastatin,HMGCR inhibitor,AHR|DPP4|HMGCR,NA,signaling receptor activity,drug,NA
K69726595,NA,NA,mericitabine,HCV inhibitor,NA,NA,NA,drug,NA
K69776681,NA,NA,volasertib,PLK inhibitor,PLK1,NA,protein serine/threonine kinase activity,drug,NA
K69812556,NA,NA,WAY-100635,serotonin receptor antagonist,HTR1A,NA,G-protein coupled amine receptor activity,drug,NA
K69832040,NA,NA,GMX1778,NAMPT inhibitor,NAMPT,NA,transferase activity,drug,NA
K69837166,NA,NA,trap-101,nociceptin/orphanin FQ receptor antagonist; opioid receptor antagonist,OPRL1,NA,G-protein coupled receptor activity,drug,NA
K69877120,NA,NA,CYM-50260,sphingosine 1 phosphate receptor agonist,S1PR4,NA,G-protein coupled receptor activity,drug,NA
K69885552,NA,NA,pinanediol,NA,NA,NA,NA,drug,NA
K69907333,NA,NA,flurbiprofen-(S)-(+),cyclooxygenase inhibitor,PTGS1|PTGS2,NA,ion binding,drug,NA
K69932463,NA,NA,AZD8055,mTOR inhibitor,MTOR,NA,NA,drug,NA
K70007857,NA,NA,hexasodium-phytate,NA,NA,NA,NA,drug,NA
K70053378,NA,NA,SM-108,NA,NA,NA,NA,drug,NA
K70088346,NA,NA,2-chloro-N6-cyclopentyladenosine,adenosine receptor agonist,ADORA1|ADORA2A|ADORA2B|ADORA3,Calcium signaling pathway,G-protein coupled receptor activity,drug,NA
K70159787,NA,NA,SMI-4a,Pim kinase inhibitor,PIM1,NA,protein serine/threonine kinase activity,drug,NA
K70163715,NA,NA,vatalanib,KIT inhibitor; PDGFR tyrosine kinase receptor inhibitor; VEGFR inhibitor,EGFR|FLT1|FLT4|KDR|PDGFRB,Rap1 signaling pathway,protein serine/threonine kinase activity,drug,NA
K70177501,NA,NA,INH1,Hec1 inhibitor,NDC80,NA,NA,drug,NA
K70246307,NA,NA,riboflavin,vitamin B2,BLVRB|RFK,NA,NA,drug,NA
K70262971,NA,NA,AGN-194310,retinoid receptor antagonist,RXRA|RXRB|RXRG,NA,signaling receptor activity,drug,NA
K70281171,NA,NA,U-99194,dopamine receptor antagonist,DRD3,NA,neurotransmitter receptor activity,drug,NA
K70301465,NA,NA,ibrutinib,Bruton's tyrosine kinase (BTK) inhibitor,BLK|BMX|BTK,NA,protein kinase activity,drug,NA
K70301876,NA,NA,escitalopram,selective serotonin reuptake inhibitor (SSRI),ADRA1A|CHRM1|HRH1|SLC6A2|SLC6A3|SLC6A4,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K70327167,NA,NA,suramin,DNA synthesis inhibitor,F2|FSHR|P2RY1|P2RY11|P2RY13|P2RY2|PLA2G2A|RYR1|RYR2|SIRT5,cAMP signaling pathway,signaling receptor activity,drug,NA
K70327191,NA,NA,benzoxiquine,antiinfective drug,NA,NA,NA,drug,NA
K70329400,NA,NA,A-1070722,glycogen synthase kinase inhibitor,GSK3A|GSK3B,PI3K-Akt signaling pathway,protein serine/threonine kinase activity,drug,NA
K70330032,NA,NA,JNJ-42165279,FAAH inhibitor,FAAH,NA,NA,drug,NA
K70330367,NA,NA,amantadine,glutamate receptor antagonist,DRD2|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A,Calcium signaling pathway,NA,drug,NA
K70358946,NA,NA,aripiprazole,serotonin receptor agonist; serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2C|HTR3A|HTR6|HTR7,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K70401845,NA,NA,erlotinib,EGFR inhibitor,EGFR|NR1I2,NA,protein serine/threonine kinase activity,drug,NA
K70402238,NA,NA,nexturastat-a,HDAC inhibitor,HDAC1|HDAC6,NA,heterocyclic compound binding,drug,NA
K70404782,NA,NA,LM-22A4,tropomyosin receptor kinase inhibitor,NTRK2,NA,protein kinase activity,drug,NA
K70446295,NA,NA,EPZ015666,protein arginine N-methyltransferase inhibitor,PRMT5,NA,transferase activity,drug,NA
K70463136,NA,NA,BAY-87-2243,hypoxia inducible factor inhibitor,HIF1A,NA,NA,drug,NA
K70487031,NA,NA,flupentixol,dopamine receptor antagonist,ADRA1A|CHRM1|DRD1|DRD2|DRD3|DRD5|HTR2A,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K70490179,NA,NA,rimcazole,sigma receptor antagonist,SIGMAR1,NA,G-protein coupled receptor activity,drug,NA
K70504253,NA,NA,fruquintinib,VEGFR inhibitor,KDR,NA,protein kinase activity,drug,NA
K70505054,NA,NA,ranitidine,histamine receptor antagonist,HRH2,NA,G-protein coupled amine receptor activity,drug,NA
K70507123,NA,NA,doxofylline,adenosine receptor antagonist,ADORA1|PDE4A|PDE4B|PDE4C|PDE4D,cAMP signaling pathway,G-protein coupled receptor activity,drug,NA
K70511574,NA,NA,HMN-214,PLK inhibitor,PLK1,NA,protein serine/threonine kinase activity,drug,NA
K70557564,NA,NA,zosuquidar,P glycoprotein inhibitor,ABCB1|ABCB4,NA,transmembrane transporter activity,drug,NA
K70578146,NA,NA,dactinomycin,RNA polymerase inhibitor,POLR2A,NA,transferase activity,drug,NA
K70586315,NA,NA,1-EBIO,potassium channel activator,KCNN1|KCNN2|KCNN3|KCNN4,NA,ion channel activity,drug,NA
K70592483,NA,NA,phenylacetylglutamine,DNA methylase inhibitor; protein synthesis inhibitor,NA,NA,NA,drug,NA
K70592963,NA,NA,phenindione,vitamin K antagonist,VKORC1,NA,NA,drug,NA
K70601687,NA,NA,enasidenib,isocitrate dehydrogenase inhibitor,IDH1,NA,small molecule binding,drug,NA
K70610771,NA,NA,VX-222,HCV inhibitor,NA,NA,NA,drug,NA
K70614402,NA,NA,SEN-1269,beta amyloid inhibitor,APP,NA,ion binding,drug,NA
K70642949,NA,NA,GSK2334470,phosphoinositide dependent kinase inhibitor,AURKA|AURKB|PDPK1,PI3K-Akt signaling pathway,protein serine/threonine kinase activity,drug,NA
K70650177,NA,NA,testosterone-undecanoate,androgen receptor agonist,AR,NA,signaling receptor activity,drug,NA
K70693421,NA,NA,genz-123346,glucosylceramidase inhibitor,UGCG,NA,transferase activity,drug,NA
K70744942,NA,NA,A-967079,transient receptor potential channel antagonist,TRPA1,NA,ion channel activity,drug,NA
K70751730,NA,NA,IOX1,histone demethylase inhibitor,EGLN1|KDM3A|KDM4C|KDM6B,NA,small molecule binding,drug,NA
K70759443,NA,NA,idazoxane,adrenergic receptor antagonist,ADRA2A|ADRA2B|ADRA2C,cGMP-PKG signaling pathway,G-protein coupled amine receptor activity,drug,NA
K70778732,NA,NA,trazodone,adrenergic receptor antagonist; serotonin receptor antagonist; serotonin reuptake inhibitor,ADRA1A|ADRA2A|HRH1|HTR1A|HTR2A|HTR2B|HTR2C|SLC6A4,cGMP-PKG signaling pathway,G-protein coupled amine receptor activity,drug,NA
K70792160,NA,NA,10-DEBC,AKT inhibitor,PIM1,NA,protein serine/threonine kinase activity,drug,NA
K70821460,NA,NA,4-methylhistamine,histamine receptor agonist,HRH4,NA,G-protein coupled amine receptor activity,drug,NA
K70840370,NA,NA,MDMS,DNA inhibitor,NA,NA,NA,drug,NA
K70898774,NA,NA,naloxone-benzoylhydrazone,opioid receptor antagonist,OPRK1|OPRM1,NA,G-protein coupled receptor activity,drug,NA
K70912147,NA,NA,co-102862,NA,SCN4A|SCN9A,NA,ion channel activity,drug,NA
K70914287,NA,NA,BIBX-1382,EGFR inhibitor,EGFR|ERBB2,Calcium signaling pathway,protein serine/threonine kinase activity,drug,NA
K70924353,NA,NA,amtolmetin-guacil,cyclooxygenase inhibitor,PTGS1|PTGS2,NA,ion binding,drug,NA
K70976396,NA,NA,cefoxitin,bacterial cell wall synthesis inhibitor,NA,NA,NA,drug,NA
K71013094,NA,NA,neomycin,bacterial 30S ribosomal subunit inhibitor,CXCR4,NA,G-protein coupled receptor activity,drug,NA
K71026158,NA,NA,carumonam,bacterial cell wall synthesis inhibitor,NA,NA,NA,drug,NA
K71035033,NA,NA,masitinib,KIT inhibitor; PDGFR tyrosine kinase receptor inhibitor; src inhibitor,FGFR3|KIT|PDGFRA|PDGFRB,Rap1 signaling pathway,protein kinase activity,drug,NA
K71055333,NA,NA,etamsylate,haemostatic agent,NA,NA,NA,drug,NA
K71058253,NA,NA,luliconazole,sterol demethylase inhibitor,NA,NA,NA,drug,NA
K71059170,NA,NA,cefixime,bacterial cell wall synthesis inhibitor,NA,NA,NA,drug,NA
K71075093,NA,NA,pempidine,ganglionic blocker,NA,NA,NA,drug,NA
K71075609,NA,NA,dorzolamide,carbonic anhydrase inhibitor,CA1|CA12|CA14|CA2|CA4|CA7,NA,ion binding,drug,NA
K71103788,NA,NA,duloxetine,norepinephrine reuptake inhibitor; serotonin norepinephrine reuptake inhibitor (SNRI),HTR2A|HTR2C|HTR6|SLC6A2|SLC6A3|SLC6A4,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K71106091,NA,NA,fludarabine-phosphate,ribonucleotide reductase inhibitor,DCK|POLA1|POLD1|POLE|RRM1|RRM2|RRM2B,Purine metabolism,kinase activity,drug,NA
K71125014,NA,NA,sulphadimethoxine,dihydropteroate synthetase inhibitor,NA,NA,NA,drug,NA
K71133585,NA,NA,sulfaquinoxaline,vitamin K antagonist,NA,NA,NA,drug,NA
K71164191,NA,NA,KD-023,ACAT inhibitor,ACACA|ACACB,NA,ATP binding,drug,NA
K71210479,NA,NA,dexpanthenol,NA,NA,NA,NA,drug,NA
K71221037,NA,NA,birinapant,XIAP inhibitor,BIRC2|XIAP,NA,transferase activity,drug,NA
